"","monthyear_date","site","mths_since_irs_continuous","mths_since_irs","precip","precip_lag","count_previous_irs","count_irs_12_months","count_irs_24_months","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","month","time_cat"
"175",2017-01-01,"Orum",24,8,26.0038719177246,15.9141035079956,3,1,4,678,339,0.508849557522124,345,393,688,0.5,5,344,1,2
"176",2017-01-01,"Alebtong",24,2,23.86328125,18.0202770233154,3,1,4,427,151,0.964871194379391,412,595,491,0.353629976580796,22.632318501171,174,1,2
"177",2017-02-01,"Nagongera",25,8,13.0307874679565,50.3397483825684,3,1,3,352,25,0.514204545454545,181,1201,354,0.0710227272727273,0.142045454545455,25,2,3
"178",2017-02-01,"Amolatar",25,4,4.76633596420288,23.9139175415039,3,1,3,163,99,0.993865030674847,162,1254,272,0.607361963190184,66.2024539877301,165,2,3
"179",2017-02-01,"Dokolo",25,9,4.35654926300049,32.4774551391602,3,1,3,393,85,0.969465648854962,381,1295,402,0.216284987277354,1.94656488549618,87,2,3
"180",2017-02-01,"Orum",25,9,4.18300914764404,26.0038719177246,3,1,3,449,147,0.654788418708241,294,398,459,0.32739420935412,3.2739420935412,150,2,3
"181",2017-02-01,"Alebtong",25,3,3.88481950759888,23.86328125,3,1,3,419,96,0.909307875894988,381,548,482,0.229116945107399,14.4343675417661,110,2,3
"182",2017-03-01,"Nagongera",26,9,7.31001758575439,13.0307874679565,3,1,3,415,77,0.614457831325301,255,1329,416,0.185542168674699,0.185542168674699,77,3,3
"183",2017-03-01,"Amolatar",26,5,4.3216381072998,4.76633596420288,3,1,3,228,84,0.991228070175439,226,877,372,0.368421052631579,53.0526315789474,137,3,3
"184",2017-03-01,"Dokolo",26,10,3.47009944915771,4.35654926300049,3,1,3,722,168,0.936288088642659,676,1849,731,0.232686980609418,2.09418282548476,170,3,3
"185",2017-03-01,"Orum",26,10,3.73121476173401,4.18300914764404,3,1,3,818,211,0.47921760391198,392,563,819,0.257946210268949,0.257946210268949,211,3,3
