"","monthyear_date","site","mths_since_stop","precip","precip_lag","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","time_cat","month"
"1",2013-04-01,"Aduku",0,11.9247512817383,11.4293994903564,948,140,0.130801687763713,124,888,953,0.147679324894515,0.738396624472574,141,0,4
"2",2013-05-01,"Aduku",0,5.15823173522949,11.9247512817383,1686,385,0.0260972716488731,44,981,1690,0.228351126927639,0.913404507710557,386,0,5
"3",2013-06-01,"Aduku",0,5.32685518264771,5.15823173522949,1663,667,0.18340348767288,305,674,1666,0.401082381238725,1.20324714371618,668,0,6
"4",2013-07-01,"Aduku",0,2.5492582321167,5.32685518264771,1550,521,0.0593548387096774,92,974,1552,0.336129032258065,0.672258064516129,522,0,7
"5",2013-08-01,"Aduku",0,2.36461424827576,2.5492582321167,917,201,0.0381679389312977,35,704,917,0.219193020719738,0,201,0,8
"6",2013-09-01,"Aduku",0,8.21295928955078,2.36461424827576,1022,239,0.073385518590998,75,946,1025,0.23385518590998,0.701565557729941,240,0,9
"7",2013-10-01,"Aduku",0,25.3285827636719,8.21295928955078,1342,421,0.0611028315946349,82,844,1343,0.31371087928465,0.31371087928465,421,0,10
"8",2013-11-01,"Aduku",0,10.1436100006104,25.3285827636719,1079,345,0.0157553290083411,17,813,1080,0.319740500463392,0.319740500463392,345,0,11
"9",2013-12-01,"Aduku",0,19.2033176422119,10.1436100006104,588,86,0.0272108843537415,16,581,589,0.146258503401361,0.146258503401361,86,0,12
"10",2014-01-01,"Aduku",0,12.8648166656494,19.2033176422119,915,96,0.0830601092896175,76,742,915,0.104918032786885,0,96,0,1
"11",2014-02-01,"Aduku",0,9.24210166931152,12.8648166656494,665,40,0.0631578947368421,42,566,666,0.0601503759398496,0.0601503759398496,40,0,2
"12",2014-03-01,"Aduku",0,8.73472881317139,9.24210166931152,678,57,0.168141592920354,114,928,680,0.084070796460177,0.168141592920354,57,0,3
"13",2014-03-01,"Aboke",0,5.13825368881226,8.40428066253662,164,38,1,164,1060,175,0.231707317073171,2.54878048780488,41,0,3
"14",2014-04-01,"Aduku",0,6.22757005691528,8.73472881317139,666,56,0.0405405405405405,27,781,666,0.0840840840840841,0,56,0,4
"15",2014-04-01,"Anyeke",0,5.3459644317627,6.06061601638794,345,68,0.976811594202899,337,1447,470,0.197101449275362,24.6376811594203,93,0,4
