"","monthyear_date","site","mths_since_irs","precip","precip_lag","tested","cases","proportion_rdt","count_rdt","notsuspect","suspect","tpr","tpr_adj_cases","cases_adjusted","month","time_cat"
"28",2016-07-01,"Namokora",0,1.70807695388794,6.18207168579102,1415,1274,0.98303886925795,1391,83,1427,0.900353356890459,10.8042402826855,1285,7,0
"29",2016-08-01,"Aduku",0,3.31415748596191,1.46690940856934,1326,673,0.298642533936652,396,755,1421,0.507541478129713,48.2164404223228,721,8,0
"30",2016-08-01,"Anyeke",0,2.29667115211487,0.95643538236618,1058,690,0.580340264650284,614,1182,1337,0.652173913043478,181.95652173913,872,8,0
"31",2016-08-01,"Aboke",0,2.7082507610321,1.10671305656433,579,389,0.854922279792746,495,613,686,0.671848013816926,71.8877374784111,461,8,0
"32",2016-08-01,"Awach",0,2.37387561798096,0.504827857017517,1378,1060,0.981857764876633,1353,750,1453,0.769230769230769,57.6923076923077,1118,8,0
"33",2016-08-01,"Lalogi",0,2.6492908000946,1.03737831115723,2064,1598,1,2064,1114,2076,0.77422480620155,9.29069767441861,1607,8,0
"34",2016-08-01,"Patongo",0,3.82978057861328,1.4251024723053,620,437,1,620,1210,627,0.704838709677419,4.93387096774194,442,8,0
"35",2016-08-01,"Atiak",0,2.12743186950684,0.402170926332474,1794,1597,0.996098104793757,1787,945,2104,0.890189520624303,275.958751393534,1873,8,0
"36",2016-08-01,"Namokora",0,3.16805410385132,1.70807695388794,1983,1541,0.999495713565305,1982,337,2352,0.777105395864851,286.75189107413,1828,8,0
"37",2016-09-01,"Aduku",0,21.3677234649658,3.31415748596191,1139,582,0.14486391571554,165,924,1299,0.510974539069359,81.7559262510974,664,9,0
"38",2016-09-01,"Anyeke",0,22.4548206329346,2.29667115211487,599,336,0.0818030050083473,49,1365,1070,0.56093489148581,264.200333889816,600,9,0
"39",2016-09-01,"Aboke",0,22.2887401580811,2.7082507610321,134,82,0.395522388059701,53,339,164,0.611940298507463,18.3582089552239,100,9,0
"40",2016-09-01,"Awach",0,27.4602661132812,2.37387561798096,1371,1027,0.975929978118162,1338,1047,1521,0.7490882567469,112.363238512035,1139,9,0
"41",2016-09-01,"Lalogi",0,23.4549674987793,2.6492908000946,2146,1406,1,2146,1033,2172,0.655172413793103,17.0344827586207,1423,9,0
"42",2016-09-01,"Patongo",0,30.2324542999268,3.82978057861328,831,694,0.997593261131167,829,1682,837,0.835138387484958,5.01083032490975,699,9,0
"43",2016-09-01,"Atiak",0,27.9860591888428,2.12743186950684,2315,2066,0.992656587473002,2298,912,2612,0.89244060475162,265.054859611231,2331,9,0
"44",2016-09-01,"Padibe",0,27.051248550415,2.69476985931396,1133,1122,1,1133,5,1134,0.990291262135922,0.990291262135922,1123,9,0
"45",2016-09-01,"Namokora",0,21.7198657989502,3.16805410385132,1477,1081,0.869329722410291,1284,197,1638,0.731888964116452,117.834123222749,1199,9,0
"46",2016-10-01,"Aduku",0,7.938232421875,21.3677234649658,791,347,0.102402022756005,81,990,1218,0.438685208596713,187.318584070796,534,10,0
"47",2016-10-01,"Anyeke",0,9.72181510925293,22.4548206329346,782,453,0.478260869565217,374,1162,1257,0.579283887468031,275.159846547315,728,10,0
"48",2016-10-01,"Aboke",0,11.2462348937988,22.2887401580811,283,201,0.346289752650177,98,565,382,0.710247349823322,70.3144876325088,271,10,0
"49",2016-10-01,"Awach",0,8.85715198516846,27.4602661132812,1225,856,0.998367346938775,1223,1104,1297,0.698775510204082,50.3118367346939,906,10,0
"50",2016-10-01,"Lalogi",0,10.3689794540405,23.4549674987793,2858,1547,1,2858,1332,2895,0.541287613715885,20.0276417074878,1567,10,0
"51",2016-10-01,"Patongo",0,15.7558822631836,30.2324542999268,2138,2049,1,2138,539,2138,0.958372310570627,0,2049,10,0
"52",2016-10-01,"Atiak",0,5.92978096008301,27.9860591888428,1629,1469,0.995089011663597,1621,907,1895,0.901780233271946,239.873542050338,1709,10,0
"53",2016-10-01,"Padibe",0,10.6699028015137,27.051248550415,628,439,1,628,701,630,0.699044585987261,1.39808917197452,440,10,0
"54",2016-10-01,"Namokora",0,10.18053150177,21.7198657989502,1087,678,0.304507819687213,331,492,1292,0.623735050597976,127.865685372585,806,10,0
"55",2016-11-01,"Aduku",0,11.7655849456787,7.938232421875,1301,548,0.0891621829362029,116,1012,1784,0.421214450422752,203.446579554189,751,11,0
"56",2016-11-01,"Anyeke",0,10.8150148391724,9.72181510925293,946,596,0.768498942917548,727,1290,1502,0.630021141649049,350.291754756871,946,11,0
"57",2016-11-01,"Aboke",0,11.5048513412476,11.2462348937988,932,672,0.983905579399142,917,647,1122,0.721030042918455,136.995708154506,809,11,0
"58",2016-11-01,"Awach",0,7.84377384185791,8.85715198516846,1282,971,0.980499219968799,1257,750,1357,0.757410296411856,56.8057722308892,1028,11,0
"59",2016-11-01,"Lalogi",0,9.94499969482422,10.3689794540405,2668,1606,1,2668,1779,2678,0.601949025487256,6.01949025487256,1612,11,0
"60",2016-11-01,"Patongo",0,12.076940536499,15.7558822631836,1572,1490,1,1572,193,1576,0.947837150127226,3.79134860050891,1494,11,0
"61",2016-11-01,"Atiak",0,6.87879848480225,5.92978096008301,1534,1281,0.992829204693611,1523,801,1688,0.835071707953064,128.601043024772,1410,11,0
"62",2016-11-01,"Padibe",0,7.62156009674072,10.6699028015137,919,789,1,919,171,921,0.85854189336235,1.7170837867247,791,11,0
"63",2016-11-01,"Namokora",0,11.3107976913452,10.18053150177,1908,1285,0.987421383647799,1884,288,1959,0.673480083857442,34.3474842767296,1319,11,0
"64",2016-12-01,"Aduku",0,16.2491226196289,11.7655849456787,560,255,0.130357142857143,73,937,976,0.455357142857143,189.428571428571,444,12,0
"65",2016-12-01,"Anyeke",0,16.4879302978516,10.8150148391724,635,409,0.637795275590551,405,879,908,0.644094488188976,175.837795275591,585,12,0
"66",2016-12-01,"Aboke",0,17.218729019165,11.5048513412476,550,384,0.996363636363636,548,341,581,0.698181818181818,21.6436363636364,406,12,0
"67",2016-12-01,"Awach",0,7.59810543060303,7.84377384185791,956,735,0.967573221757322,925,744,1070,0.768828451882845,87.6464435146444,823,12,0
"68",2016-12-01,"Lalogi",0,13.6146697998047,9.94499969482422,1200,1050,1,1200,1327,1224,0.875,21,1071,12,0
"69",2016-12-01,"Patongo",0,11.2496576309204,12.076940536499,1096,992,1,1096,223,1104,0.905109489051095,7.24087591240876,999,12,0
"70",2016-12-01,"Atiak",0,7.01802492141724,6.87879848480225,1043,893,0.996164908916587,1039,840,1187,0.856184084372004,123.290508149569,1016,12,0
"71",2016-12-01,"Padibe",0,13.2149448394775,7.62156009674072,701,561,1,701,512,714,0.800285306704708,10.4037089871612,571,12,0
"72",2016-12-01,"Namokora",0,8.93917083740234,11.3107976913452,1554,912,0.982625482625483,1527,297,1586,0.586872586872587,18.7799227799228,931,12,0
"73",2017-01-01,"Aduku",0,17.3454856872559,16.2491226196289,291,160,0.40893470790378,119,706,584,0.549828178694158,161.099656357388,321,1,0
"74",2017-01-01,"Anyeke",0,10.1369066238403,16.4879302978516,641,433,0.981279251170047,629,919,893,0.675507020280811,170.227769110764,603,1,0
"75",2017-01-01,"Aboke",0,10.4216289520264,17.218729019165,602,418,1,602,308,651,0.694352159468439,34.0232558139535,452,1,0
"76",2017-01-01,"Awach",0,7.3945574760437,7.59810543060303,1038,656,0.994219653179191,1032,1063,1115,0.631984585741811,48.6628131021195,705,1,0
"77",2017-01-01,"Lalogi",0,8.28451633453369,13.6146697998047,1224,922,0.997549019607843,1221,1418,1236,0.753267973856209,9.03921568627451,931,1,0
"78",2017-01-01,"Patongo",0,13.8431062698364,11.2496576309204,745,517,0.971812080536913,724,612,780,0.693959731543624,24.2885906040268,541,1,0
"79",2017-01-01,"Atiak",0,2.53466987609863,7.01802492141724,1200,945,0.9975,1197,1163,1538,0.7875,266.175,1211,1,0
"80",2017-01-01,"Padibe",0,9.45709800720215,13.2149448394775,442,309,1,442,561,449,0.699095022624434,4.89366515837104,314,1,0
"81",2017-01-01,"Namokora",0,18.8632965087891,8.93917083740234,1078,531,0.989795918367347,1067,361,1102,0.492578849721707,11.821892393321,543,1,0
"82",2017-02-01,"Aduku",0,4.53589630126953,17.3454856872559,143,24,0,0,795,375,0.167832167832168,38.9370629370629,63,2,0
"83",2017-02-01,"Anyeke",0,3.01044130325317,10.1369066238403,569,317,0.982425307557118,559,1031,758,0.557117750439367,105.29525483304,422,2,0
"84",2017-02-01,"Aboke",0,3.88586521148682,10.4216289520264,655,369,0.854961832061069,560,1144,706,0.563358778625954,28.7312977099237,398,2,0
"85",2017-02-01,"Awach",0,1.86313331127167,7.3945574760437,631,380,0.990491283676704,625,644,714,0.602218700475436,49.9841521394612,430,2,0
"86",2017-02-01,"Lalogi",0,3.09281015396118,8.28451633453369,806,542,1,806,1261,815,0.672456575682382,6.05210918114144,548,2,0
"87",2017-02-01,"Patongo",0,3.59834003448486,13.8431062698364,278,77,0.0251798561151079,7,437,404,0.276978417266187,34.8992805755396,112,2,0
